
beat  bar.beat  sounding (low->high)
  40.0   11.1.0  D2 D3 D4 F4 D5
  40.5   11.1.5  D2 D3 A3 D4 D5
  41.0   11.2.0  D2 Ab2 D3 Ab3 D4 Eb4 F4 Ab4 Eb5
  41.5   11.2.5  D2 Ab2 D3 Ab3 D4 Eb4 Ab4 D5 Eb5
  42.0   11.3.0  D2 D3 D4 E4 F4 D5 E5
  42.5   11.3.5  D2 D3 A3 D4 E4 D5 E5
  43.0   11.4.0  D2 D3 D4 F4 D5 F5
  43.5   11.4.5  D2 D3 D4 F4 D5 F5
  44.0   12.1.0  D2 D3 Eb3 G3 Ab3 Bb3 D4 Eb4 F#4 G4 D5 Eb5 F#5
  44.5   12.1.5  D2 D3 Eb3 G3 Ab3 Bb3 Eb4 F#4 D5 Eb5 F#5
  45.0   12.2.0  D2 D3 Eb3 G3 Ab3 Bb3 D4 Eb4 G4 D5 Eb5 G5
  45.5   12.2.5  D2 D3 Eb3 G3 Ab3 Bb3 Eb4 G4 D5 Eb5 G5
  46.0   12.3.0  D2 D3 Eb3 G3 Ab3 Bb3 D4 Eb4 G4 Ab4 D5 Eb5 Ab5
  46.5   12.3.5  D2 D3 Eb3 G3 Ab3 Bb3 Eb4 Ab4 D5 Eb5 Ab5
  47.0   12.4.0  D2 D3 Eb3 G3 Ab3 Bb3 D4 Eb4 G4 A4 D5 Eb5 A5
  47.5   12.4.5  D2 D3 Eb3 G3 Ab3 Bb3 Eb4 A4 D5 Eb5 A5
  48.0   13.1.0  D2 D3 Ab3 A3 Eb4 D5 Eb5
  48.5   13.1.5  D2 D3 Ab3 A3 Eb4 D5 Eb5
  49.0   13.2.0  D2 D3 Ab3 A3 Eb4 D5 Eb5
  49.5   13.2.5  D2 D3 Ab3 A3 Eb4 D5 Eb5
  50.0   13.3.0  D2 D3 Ab3 A3 Eb4 D5 Eb5
  50.5   13.3.5  D2 D3 Ab3 A3 Eb4 D5 Eb5
  51.0   13.4.0  D2 D3 Ab3 A3 Eb4 D5 Eb5
  51.5   13.4.5  D2 D3 Ab3 A3 Eb4 D5 Eb5
  52.0   14.1.0  D1 D2 Ab2 D3 Ab3
  52.5   14.1.5  D1 D2 Ab2 D3 Ab3
  53.0   14.2.0  D1 D2 Ab2 D3 Ab3
  53.5   14.2.5  D2 D4
  54.0   14.3.0  D2 D3 D4
  54.5   14.3.5  D2 D3 D4
  55.0   14.4.0  D2 D3 D4
  55.5   14.4.5  D2 D3 D4 A4
  56.0   15.1.0  D3 D4 A4
  56.5   15.1.5  D3 D4 A4
  57.0   15.2.0  D3 D4 A4
  57.5   15.2.5  D3 D4 A4 D5
  58.0   15.3.0  D3 D4 A4 D5
  58.5   15.3.5  D3 D4 A4 D5
  59.0   15.4.0  D2 A2 D3 D4 A4 D5
  59.5   15.4.5  D2 A2 D3 D4 A4 D5
  60.0   16.1.0  D2 A2 D3 D4 A4 D5
  60.5   16.1.5  D2 A2 D3 D4 A4 D5
  61.0   16.2.0  D2 A2 D3 D4 A4 D5
  61.5   16.2.5  D2 A2 D3 D4 A4 D5
  62.0   16.3.0  D2 A2 D3 D4 A4 D5
  62.5   16.3.5  D2 A2 D3 D4 A4 D5
  63.0   16.4.0  D2 A2 D3 D4 A4 D5
  63.5   16.4.5  D2 A2 D3 D4 A4 D5
  64.0   17.1.0  D2 A2 D3 D4 A4 D5
  64.5   17.1.5  D2 A2 D3 D4 A4 D5
  65.0   17.2.0  D2 A2 D3 D4 A4 D5
  65.5   17.2.5  D2 A2 D3 D4 A4 D5
  66.0   17.3.0  D2 D3 F3 Bb3 D4 F4 Bb4
  66.5   17.3.5  D2 C3 D3 F3 Bb3 D4 F4 Bb4
  67.0   17.4.0  C2 C3 F3 Bb3 D4 F4 Bb4
  67.5   17.4.5  C2 C3 D3 F3 G3 A3 Bb3 C4 D4 F4 Bb4
  68.0   18.1.0  F1 F2 C3 D3 F3 G3 A3 C4 D4 F4 G4 A4 C5 D5 F5 A5
  68.5   18.1.5  F1 F2 C3 D3 F3 G3 A3 C4 D4 F4 G4 A4 C5 D5 F5 A5
  69.0   18.2.0  F1 F2 C3 D3 F3 G3 A3 C4 D4 F4 G4 A4 C5 D5 F5 A5
  69.5   18.2.5  F1 F2 C3 F3 A3 C4 F4 G4 A4 C5 D5 F5 A5
  70.0   18.3.0  F1 F2 C3 F3 A3 C4 F4 A4 C5 F5 A5
  70.5   18.3.5  F1 F2 C3 F3 A3 C4 F4 A4 C5 F5 A5
  71.0   18.4.0  F1 F2 C3 F3 A3 C4 F4 A4 C5 F5 A5
  71.5   18.4.5  F1 F2 C3 A3 F4 A4 C5 F5 A5
  72.0   19.1.0  F1 F2 C3 A3 C4 F4 A4 C5 F5 A5
  72.5   19.1.5  F1 F2 C3 F4 A4 F5
  73.0   19.2.0  F1 F2 C3 E4 A4 C5 F5
  73.5   19.2.5  F1 F2 C3 D4 F4 A4 F5
  74.0   19.3.0  F1 A1 F2 A2 C3 F3 C4 F4 F5
  74.5   19.3.5  F1 A1 F2 A2 C3 F3 C4 F4 A4 F5
  75.0   19.4.0  F1 A1 F2 A2 C3 F3 C4 F4 A4 C5 F5
  75.5   19.4.5  F1 A1 F2 A2 C3 F3 C4 F4 A4 F5
  76.0   20.1.0  F1 A1 F2 A2 C3 C4 F4 F5
  76.5   20.1.5  A1 A2 F4 A4 F5
  77.0   20.2.0  Bb1 Bb2 Bb3 D4 F4 F5
  77.5   20.2.5  Bb1 Bb2 Bb3 D4 F4 Bb4 F5 Bb5
  78.0   20.3.0  Bb1 Bb2 Bb3 F4 A4 Bb4 D5 F5 Bb5
  78.5   20.3.5  Bb1 Bb2 Bb3 F4 A4 Bb4 F5 Bb5
  79.0   20.4.0  Bb1 Bb2 D4 F4 Bb4 D5 F5 Bb5
  79.5   20.4.5  Bb1 Bb2 F4 Bb4 D5 F5
  80.0   21.1.0  C2 C3 E4 G4 C5 D5 G5 C6
  80.5   21.1.5  C2 C3 C4 G4 C5 D5 G5 C6
  81.0   21.2.0  C2 C3 C4 C5 D5 E5 G5 G6
  81.5   21.2.5  C2 C3 C4 G4 C5 G5 G6
  82.0   21.3.0  C2 C3 C4 E4 G4 C5 G5 C6 C7
  82.5   21.3.5  D2 C3 D3 D4 F4 A5 C6 C7
  83.0   21.4.0  D2 D3 D4 F4 A4 D5 A5 C6
  83.5   21.4.5  D2 D3 A3 D4 A4 D5 A5 C6
  84.0   22.1.0  D2 D3 A3 D4 F4 A4 D5 A5 C6
  84.5   22.1.5  E2 C3 E3 D4 E4 G4 D5 G5
  85.0   22.2.0  E2 C3 E3 C4 D4 G4 C5 G5
